ชื่อ_อำเภอ,ชื่อ_หน่วยงาน,งบประมาณ_ปี_2564,งบประมาณ_ปี_2565,งบประมาณ_ปี_2566,งบประมาณ_ปี_2567,งบประมาณ_ปี_2568,รวม_งบประมาณที่สนับสนุน(ห้ามแก้ไข)
แกลง,รพ.สต.เต้าปูนหาย,0,0,0,"50,800","71,200","฿122,000.00"
แกลง,รพ.สต.สองสลึง,0,0,0,"98,900","86,400","฿185,300.00"
แกลง,รพ.สต.คลองป่าไม้_(ครั้งที่_1),0,0,"44,800","94,600",0,"฿139,400.00"
แกลง,รพ.สต.คลองป่าไม้_(ครั้งที่_2),0,0,"85,600",0,0,"฿85,600.00"
แกลง,รพ.สต.คลองปูน,0,0,0,"96,400","95,700","฿192,100.00"
แกลง,รพ.สต.ปากน้ำกระแส,0,0,0,"96,400",0,"฿96,400.00"
ปลวกแดง,รพ.ปลวกแดง,0,0,"279,600","253,000",0,"฿532,600.00"
ปลวกแดง,สสอ.ปลวกแดง,0,0,0,"494,900",0,"฿494,900.00"
ปลวกแดง,รพ.สต.บ้านหนองค้างคาว,0,0,"47,500","69,300","55,000","฿171,800.00"
ปลวกแดง,รพ.สต.บ้านมาบยางพร,0,0,"49,800",0,"59,800","฿109,600.00"
ปลวกแดง,รพ.สต.บ้านหนองไร่,0,0,0,"96,400","96,000","฿192,400.00"
ปลวกแดง,รพ.สต.คลองน้ำแดง,0,0,0,0,"73,300","฿73,300.00"
ปลวกแดง,รพ.สต.ปากแพรก,0,0,0,0,"99,250","฿99,250.00"
ปลวกแดง,รพ.สต.บึงตาต้า,0,0,0,0,"72,190","฿72,190.00"
ปลวกแดง,รพ.สต.บ้านห้วยปราบ,0,0,"50,000","93,200","97,700","฿240,900.00"
วังจันทร์,รพ.วังจันทร์,"321,100","385,100",0,"434,600","300,000","฿1,440,800.00"
วังจันทร์,สสอ.บ้านวังจันทร์,0,0,0,"96,400",0,"฿96,400.00"
วังจันทร์,รพ.สต.บ้านคลองเขต,0,0,"98,550","83,300",0,"฿181,850.00"
วังจันทร์,รพ.สต.บ้านวังจันทร์,0,0,"98,000","99,400","98,000","฿295,400.00"
วังจันทร์,รพ.สต.บ้านเขาตาอิ๋น_(ครั้งที่_1),0,0,0,"98,700","99,600","฿198,300.00"
วังจันทร์,รพ.สต.บ้านเขาตาอิ๋น_(ครั้งที่_2),0,0,0,0,"95,800","฿95,800.00"
วังจันทร์,รพ.สต.บ้านเขาสิงห์โต,0,0,0,"92,700","99,260","฿191,960.00"
